,Unnamed: 0,路段,排列,朝向,经度,纬度,停车位数量
0,21,中心路(后海湾段),靠右,东侧,113.947657,22.509065,17
1,22,中心路(后海湾段),靠左,西侧,113.947657,22.509065,49
2,52,创业路(南油段),靠右,南侧,113.915701,22.525154,17
3,53,创业路(南油段),靠左,北侧,113.915701,22.525154,55
4,54,创业路(后海湾段),靠右,南侧,113.94822,22.518481,10
5,55,创业路(后海湾段),靠左,北侧,113.94822,22.518481,9
6,56,创业路辅道,靠右,南侧,113.933997,22.521671,24
7,57,创业路辅道,靠左,北侧,113.933997,22.521671,13
8,58,创业路辅道,靠左,西侧,113.933997,22.521671,1
9,64,华明路,靠左,北侧,113.933475,22.513464000000006,4
10,65,南头街,靠右,南侧,113.921489,22.542571,14
11,66,南头街,靠左,北侧,113.921489,22.542571,7
12,67,南新路,靠右,东侧,113.91975,22.517717,8
13,68,南新路,靠左,西侧,113.91975,22.517717,15
14,74,后海大道辅道(后海段),靠右,东侧,113.939075,22.510614,48
15,75,后海大道辅道(后海段),靠左,西侧,113.939075,22.510614,33
16,76,后海大道辅道(蛇口北段),靠右,东侧,113.941676,22.530704,28
17,77,后海大道辅道(蛇口北段),靠左,西侧,113.941676,22.530704,31
18,85,四海路,靠右,东侧,113.932916,22.510441,1
19,86,四海路,靠左,西侧,113.932916,22.510441,55
20,93,学府路(前海段),靠左,北侧,113.919806,22.534088,13
21,105,工业九路,靠左,西侧,113.930613,22.508344,51
22,106,常兴路,靠右,东侧,113.928522,22.543616,30
23,107,常兴路,靠左,西侧,113.928522,22.543616,36
24,125,文心一路,靠右,东侧,113.936272,22.524663,13
25,126,文心三路,靠右,东侧,113.94118,22.524229,7
26,127,文心三路,靠左,西侧,113.94118,22.524229,5
27,128,文心二路,靠右,东侧,113.937374,22.525269,17
28,129,文心二路,靠左,西侧,113.937374,22.525269,13
29,130,文心五路,靠右,东侧,113.943213,22.522191,3
30,131,文心五路,靠左,西侧,113.943213,22.522191,11
31,132,文心六路,靠右,东侧,113.94503,22.522916,21
32,133,文心六路,靠左,西侧,113.94503,22.522916,22
33,134,文心四路,靠右,东侧,113.942471,22.523304,6
34,135,文心四路,靠左,西侧,113.942471,22.523304,4
35,194,海德一道,靠右,南侧,113.94165,22.521807,27
36,195,海德一道,靠左,北侧,113.94165,22.521807,24
37,196,海德一道(后海湾段),靠右,南侧,113.939057,22.522691,13
38,197,海德一道(后海湾段),靠左,北侧,113.939057,22.522691,14
39,198,海德三道,靠右,南侧,113.939556,22.525517,19
40,199,海德三道,靠左,北侧,113.939556,22.525517,16
41,200,海德二道,靠右,南侧,113.945129,22.52325,19
42,201,海德二道,靠左,北侧,113.945129,22.52325,17
43,202,海德二道（南油段）,靠右,南侧,113.925929,22.527841,26
44,205,海月路(东段),靠左,西侧,113.941691,22.506345,19
45,225,登良路,靠右,南侧,113.93258,22.516243,18
46,226,登良路,靠左,北侧,113.93258,22.516243,12
47,256,科技南一路,靠右,东侧,113.952007,22.544188,27
48,257,科技南一路,靠右,南侧,113.952007,22.544188,12
49,258,科技南一路,靠左,北侧,113.952007,22.544188,39
50,259,科技南一路,靠左,西侧,113.952007,22.544188,21
51,260,科技南十二路,靠左,西侧,113.962177,22.541352,10
52,261,科技南十路,靠右,东侧,113.960384,22.545851000000006,17
53,262,科技南十路,靠左,西侧,113.960384,22.545851000000006,12
54,263,科技南路,靠右,东侧,113.956302,22.546269,43
55,264,科技南路,靠左,西侧,113.956302,22.546269,45
56,281,荔园路(蛇口东段),靠左,北侧,113.938447,22.50364,45
57,282,荔园路(蛇口东段),靠左,西侧,113.938447,22.50364,3
58,291,金世纪路,靠左,西侧,113.553371,22.29707,19
59,313,高新南七道,靠右,南侧,113.948268,22.538841,25
60,314,高新南七道,靠左,北侧,113.948268,22.538841,17
61,315,高新南三道,靠左,北侧,113.960522,22.54333,23
62,316,高新南九道,靠右,南侧,113.961159,22.535477,7
63,317,高新南九道,靠左,北侧,113.961159,22.535477,20
64,318,高新南五道,靠左,北侧,113.953524,22.540997,19
65,319,高新南十一道,靠右,南侧,113.960791,22.530275,30
66,320,高新南十一道,靠左,北侧,113.960791,22.530275,30
67,321,高新南十道,靠右,南侧,113.952375,22.532615,30
68,322,高新南十道,靠左,北侧,113.952375,22.532615,28
69,323,高新南四道,靠右,南侧,113.963324,22.540668,13
70,324,高新南四道,靠左,北侧,113.963324,22.540668,13
71,325,高新南环路,靠右,东侧,113.954392,22.535928,69
72,326,高新南环路,靠右,南侧,113.954392,22.535928,44
73,327,高新南环路,靠左,北侧,113.954392,22.535928,47
74,328,高新南环路,靠左,西侧,113.954392,22.535928,80
75,334,龙城路,靠右,南侧,113.93332,22.518527,32
